asset,type,quantity,average_price,current_price,invested_value,current_value,profit,return_pct
TXN,Stock,3.5,214.33,223.32,750.16,781.62,31.47,4.19
HON,Stock,10.36,223.5,241.14,2315.46,2498.21,182.75,7.89
KO,Stock,5.49,78.05,79.49,428.49,436.4,7.91,1.84
CAT,Stock,0.5,741.36,751.97,370.68,375.98,5.3,1.43
JNJ,Stock,10.09,223.06,244.99,2250.68,2471.95,221.27,9.83
BAC,Stock,10.53,56.01,53.36,589.79,561.88,-27.9,-4.73
JPM,Stock,0.05,319.63,308.78,15.98,15.44,-0.54,-3.39
CVX,Stock,3.05,181.4,183.87,553.27,560.8,7.53,1.36
XOM,Stock,2.41,151.02,150.68,363.96,363.14,-0.82,-0.23
IJR,ETF,3.0,128.7,131.18,386.1,393.54,7.44,1.93
SCHD,ETF,5.0,31.41,31.56,157.05,157.8,0.75,0.48
