Data,Ativo,Tipo,Preço,RSI,Sinal,Confiança,Taxa_Acerto_Buy,Taxa_Acerto_Sell
2026-01-16 19:16,LMT,Ação,581.03,78.86,BUY,42,84.09,44.83
2026-01-16 19:16,SPGI,Ação,548.04,70.14,BUY,36,72.97,33.33
2026-01-16 19:16,JNJ,Ação,218.51,68.98,BUY,35,70.15,20.0
2026-01-16 19:16,ADP,Ação,260.24,50.5,SELL,35,47.62,71.7
2026-01-16 19:16,GOOGL,Ação,329.12,62.78,BUY,34,68.06,25.0
2026-01-16 19:16,GOOG,Ação,329.67,62.52,BUY,34,68.06,40.0
2026-01-16 19:16,HD,Ação,379.86,68.7,BUY,34,68.89,54.84
2026-01-16 19:16,MS,Ação,191.31,66.38,BUY,32,64.29,0.0
2026-01-16 19:16,VT,ETF,144.99,66.15,BUY,31,62.96,0.0
2026-01-16 19:16,BLK,Ação,1170.02,71.09,BUY,31,63.83,38.46
2026-01-16 19:16,SCZ,ETF,80.81,73.47,BUY,30,61.64,0.0
2026-01-16 19:16,IJH,ETF,70.07,69.97,BUY,30,61.54,10.0
2026-01-16 19:16,VYM,ETF,148.87,68.14,BUY,29,59.7,0.0
2026-01-16 19:16,VEA,ETF,65.08,73.86,BUY,29,58.33,0.0
2026-01-16 19:16,VTV,ETF,198.6,70.22,BUY,29,58.97,0.0
2026-01-16 19:16,ACWI,ETF,145.04,64.85,BUY,29,59.76,0.0
2026-01-16 19:16,SCHD,ETF,28.91,71.05,BUY,29,58.49,16.0
2026-01-16 19:16,VTI,ETF,342.31,60.55,BUY,28,57.69,0.0
2026-01-16 19:16,WMT,Ação,117.78,60.96,BUY,28,57.38,0.0
2026-01-16 19:16,AMD,Ação,231.11,61.95,BUY,28,56.52,20.0
2026-01-16 19:16,VOO,ETF,636.9,58.51,BUY,27,54.43,0.0
2026-01-16 19:16,RTX,Ação,202.09,77.48,BUY,27,55.41,0.0
2026-01-16 19:16,TXN,Ação,191.76,62.81,BUY,27,54.55,52.63
2026-01-16 19:16,CAT,Ação,643.85,66.69,BUY,27,54.17,0.0
2026-01-16 19:16,GS,Ação,966.78,66.27,BUY,27,54.88,0.0
2026-01-16 19:16,HON,Ação,219.57,76.83,BUY,27,55.56,53.33
2026-01-16 19:16,IEFA,ETF,92.69,71.56,BUY,27,54.43,0.0
2026-01-16 19:16,IVV,ETF,695.56,58.47,BUY,27,54.43,0.0
2026-01-16 19:16,IJR,ETF,128.8,70.73,BUY,27,55.17,11.76
2026-01-16 19:16,VIG,ETF,225.72,63.42,BUY,27,54.79,50.0
2026-01-16 19:16,IEMG,ETF,70.86,70.09,BUY,26,52.7,0.0
2026-01-16 19:16,MDT,Ação,97.82,48.69,BUY,26,53.85,0.0
2026-01-16 19:16,LIN,Ação,438.2,61.49,BUY,25,51.52,56.67
2026-01-16 19:16,CVX,Ação,166.7,68.11,BUY,25,51.11,25.0
2026-01-16 19:16,INTC,Ação,47.4,67.81,BUY,25,50.0,41.18
2026-01-16 19:16,AGG,ETF,100.04,51.48,BUY,25,50.0,0.0
2026-01-16 19:16,BA,Ação,247.35,79.55,BUY,25,51.85,45.1
2026-01-16 19:16,PYPL,Ação,56.62,35.15,SELL,24,31.25,48.08
2026-01-16 19:16,CRM,Ação,229.11,28.85,BUY,24,48.57,30.95
2026-01-16 19:16,MSFT,Ação,461.88,36.02,SELL,24,48.65,48.28
2026-01-16 19:16,AMZN,Ação,237.78,53.25,BUY,23,47.17,29.03
2026-01-16 19:16,NEE,Ação,83.88,63.19,BUY,23,46.67,44.74
2026-01-16 19:16,T,Ação,23.51,38.95,SELL,22,51.43,45.71
2026-01-16 19:16,ADBE,Ação,297.59,22.84,SELL,21,14.81,43.64
2026-01-16 19:16,XOM,Ação,129.86,67.12,BUY,21,43.64,31.58
2026-01-16 19:16,UPS,Ação,107.18,66.17,BUY,20,41.67,18.18
2026-01-16 19:16,VZ,Ação,39.03,42.69,SELL,20,48.15,41.67
2026-01-16 19:16,GILD,Ação,124.04,53.58,BUY,19,38.6,0.0
2026-01-16 19:16,KO,Ação,70.46,53.1,BUY,19,38.1,53.66
2026-01-16 19:16,IBM,Ação,306.71,52.92,BUY,18,36.84,60.87
2026-01-16 19:16,CMCSA,Ação,27.85,54.72,SELL,16,40.0,67.27
2026-01-16 19:16,ISRG,Ação,534.25,34.45,BUY,15,31.03,51.52
2026-01-16 19:16,BAC,Ação,53.1,40.57,BUY,15,63.1,12.5
2026-01-16 19:16,NFLX,Ação,87.93,26.84,SELL,14,9.09,58.33
